"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 04 18:22:11 GMT 2023","Mon Dec 04 18:22:12 GMT 2023","986","tests.api_tests","test_api","","","","test_update_user_by_id","
    Test update of already created users with different parameters
    :rtype: object
    "
"passed","Mon Dec 04 18:22:07 GMT 2023","Mon Dec 04 18:22:11 GMT 2023","3869","tests.api_tests","test_api","","","","test_get_user_by_id","
    Test getting user by id
    :rtype: object
    "
"passed","Mon Dec 04 18:22:03 GMT 2023","Mon Dec 04 18:22:03 GMT 2023","469","tests.api_tests","test_api","","","","test_get_users","
    Test get all users
    :rtype: object
    "
"passed","Mon Dec 04 18:22:20 GMT 2023","Mon Dec 04 18:22:21 GMT 2023","605","tests.api_tests","test_api","","","","test_update_post_by_id","
    Test update already created post by other data
    :rtype: object
    "
"passed","Mon Dec 04 18:22:11 GMT 2023","Mon Dec 04 18:22:11 GMT 2023","320","tests.api_tests","test_api","","","","test_create_user_without_email","
    Test creation of new user with incorrect parameters
    :rtype: object
    "
"passed","Mon Dec 04 18:22:18 GMT 2023","Mon Dec 04 18:22:18 GMT 2023","238","tests.api_tests","test_api","","","","test_create_post","
    Test creation of new post
    :rtype: object
    "
"passed","Mon Dec 04 18:22:19 GMT 2023","Mon Dec 04 18:22:20 GMT 2023","434","tests.api_tests","test_api","","","","test_get_post_by_id","
    Test getting post by id
    :rtype: object
    "
"passed","Mon Dec 04 18:22:17 GMT 2023","Mon Dec 04 18:22:18 GMT 2023","1065","tests.api_tests","test_api","","","","test_get_posts","
    Test get all post and check the type
    :rtype: object
    "
"passed","Mon Dec 04 18:22:13 GMT 2023","Mon Dec 04 18:22:17 GMT 2023","4051","tests.api_tests","test_api","","","","test_delete_user_by_id","
    Test deletion of already created users
    :rtype: object
    "
"passed","Mon Dec 04 18:22:21 GMT 2023","Mon Dec 04 18:22:22 GMT 2023","1040","tests.api_tests","test_api","","","","test_delete_post_by_id","
    Test deletion of already created post
    :rtype: object
    "
"passed","Mon Dec 04 18:22:03 GMT 2023","Mon Dec 04 18:22:07 GMT 2023","3395","tests.api_tests","test_api","","","","test_create_user","
    Testing creation of new user
    :rtype: object
    "
