"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 04 19:11:43 GMT 2023","Mon Dec 04 19:11:43 GMT 2023","424","tests.api_tests","test_api","","","","test_get_post_by_id","
    Test getting post by id
    :rtype: object
    "
"passed","Mon Dec 04 19:11:40 GMT 2023","Mon Dec 04 19:11:40 GMT 2023","262","tests.api_tests","test_api","","","","test_create_user_without_email","
    Test creation of new user with incorrect parameters
    :rtype: object
    "
"passed","Mon Dec 04 19:11:39 GMT 2023","Mon Dec 04 19:11:39 GMT 2023","162","tests.api_tests","test_api","","","","test_create_user","
    Testing creation of new user
    :rtype: object
    "
"passed","Mon Dec 04 19:11:41 GMT 2023","Mon Dec 04 19:11:42 GMT 2023","728","tests.api_tests","test_api","","","","test_get_posts","
    Test get all post and check the type
    :rtype: object
    "
"passed","Mon Dec 04 19:11:42 GMT 2023","Mon Dec 04 19:11:42 GMT 2023","167","tests.api_tests","test_api","","","","test_create_post","
    Test creation of new post
    :rtype: object
    "
"passed","Mon Dec 04 19:11:44 GMT 2023","Mon Dec 04 19:11:45 GMT 2023","659","tests.api_tests","test_api","","","","test_update_post_by_id","
    Test update already created post by other data
    :rtype: object
    "
"passed","Mon Dec 04 19:11:45 GMT 2023","Mon Dec 04 19:11:46 GMT 2023","501","tests.api_tests","test_api","","","","test_delete_post_by_id","
    Test deletion of already created post
    :rtype: object
    "
"passed","Mon Dec 04 19:11:39 GMT 2023","Mon Dec 04 19:11:40 GMT 2023","594","tests.api_tests","test_api","","","","test_get_user_by_id","
    Test getting user by id
    :rtype: object
    "
"passed","Mon Dec 04 19:11:41 GMT 2023","Mon Dec 04 19:11:41 GMT 2023","460","tests.api_tests","test_api","","","","test_delete_user_by_id","
    Test deletion of already created users
    :rtype: object
    "
"passed","Mon Dec 04 19:11:38 GMT 2023","Mon Dec 04 19:11:39 GMT 2023","324","tests.api_tests","test_api","","","","test_get_users","
    Test get all users
    :rtype: object
    "
"passed","Mon Dec 04 19:11:40 GMT 2023","Mon Dec 04 19:11:41 GMT 2023","594","tests.api_tests","test_api","","","","test_update_user_by_id","
    Test update of already created users with different parameters
    :rtype: object
    "
