"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 08 11:14:11 GMT 2023","Fri Dec 08 11:14:11 GMT 2023","316","tests.api_tests","test_api","","","","test_delete_post_by_id","
    Test deletion of already created post
    :rtype: object
    "
"passed","Fri Dec 08 11:14:05 GMT 2023","Fri Dec 08 11:14:06 GMT 2023","205","tests.api_tests","test_api","","","","test_create_user","
    Testing creation of new user
    :rtype: object
    "
"passed","Fri Dec 08 11:14:05 GMT 2023","Fri Dec 08 11:14:05 GMT 2023","177","tests.api_tests","test_api","","","","test_get_users","
    Test get all users
    :rtype: object
    "
"passed","Fri Dec 08 11:14:09 GMT 2023","Fri Dec 08 11:14:10 GMT 2023","356","tests.api_tests","test_api","","","","test_get_post_by_id","
    Test getting post by id
    :rtype: object
    "
"passed","Fri Dec 08 11:14:07 GMT 2023","Fri Dec 08 11:14:07 GMT 2023","451","tests.api_tests","test_api","","","","test_update_user_by_id","
    Test update of already created users with different parameters
    :rtype: object
    "
"passed","Fri Dec 08 11:14:07 GMT 2023","Fri Dec 08 11:14:08 GMT 2023","537","tests.api_tests","test_api","","","","test_delete_user_by_id","
    Test deletion of already created users
    :rtype: object
    "
"passed","Fri Dec 08 11:14:06 GMT 2023","Fri Dec 08 11:14:07 GMT 2023","256","tests.api_tests","test_api","","","","test_create_user_without_email","
    Test creation of new user with incorrect parameters
    :rtype: object
    "
"passed","Fri Dec 08 11:14:10 GMT 2023","Fri Dec 08 11:14:10 GMT 2023","464","tests.api_tests","test_api","","","","test_update_post_by_id","
    Test update already created post by other data
    :rtype: object
    "
"passed","Fri Dec 08 11:14:09 GMT 2023","Fri Dec 08 11:14:09 GMT 2023","157","tests.api_tests","test_api","","","","test_create_post","
    Test creation of new post
    :rtype: object
    "
"passed","Fri Dec 08 11:14:08 GMT 2023","Fri Dec 08 11:14:08 GMT 2023","498","tests.api_tests","test_api","","","","test_get_posts","
    Test get all post and check the type
    :rtype: object
    "
"passed","Fri Dec 08 11:14:06 GMT 2023","Fri Dec 08 11:14:06 GMT 2023","340","tests.api_tests","test_api","","","","test_get_user_by_id","
    Test getting user by id
    :rtype: object
    "
