"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 05 09:52:00 GMT 2023","Tue Dec 05 09:52:00 GMT 2023","155","tests.api_tests","test_api","","","","test_create_user","
    Testing creation of new user
    :rtype: object
    "
"passed","Tue Dec 05 09:52:01 GMT 2023","Tue Dec 05 09:52:01 GMT 2023","130","tests.api_tests","test_api","","","","test_create_user_without_email","
    Test creation of new user with incorrect parameters
    :rtype: object
    "
"passed","Tue Dec 05 09:52:06 GMT 2023","Tue Dec 05 09:52:06 GMT 2023","473","tests.api_tests","test_api","","","","test_update_post_by_id","
    Test update already created post by other data
    :rtype: object
    "
"passed","Tue Dec 05 09:52:07 GMT 2023","Tue Dec 05 09:52:07 GMT 2023","287","tests.api_tests","test_api","","","","test_delete_post_by_id","
    Test deletion of already created post
    :rtype: object
    "
"passed","Tue Dec 05 09:52:03 GMT 2023","Tue Dec 05 09:52:03 GMT 2023","463","tests.api_tests","test_api","","","","test_delete_user_by_id","
    Test deletion of already created users
    :rtype: object
    "
"passed","Tue Dec 05 09:52:05 GMT 2023","Tue Dec 05 09:52:05 GMT 2023","486","tests.api_tests","test_api","","","","test_get_post_by_id","
    Test getting post by id
    :rtype: object
    "
"passed","Tue Dec 05 09:52:00 GMT 2023","Tue Dec 05 09:52:01 GMT 2023","438","tests.api_tests","test_api","","","","test_get_user_by_id","
    Test getting user by id
    :rtype: object
    "
"passed","Tue Dec 05 09:52:03 GMT 2023","Tue Dec 05 09:52:04 GMT 2023","516","tests.api_tests","test_api","","","","test_get_posts","
    Test get all post and check the type
    :rtype: object
    "
"passed","Tue Dec 05 09:52:04 GMT 2023","Tue Dec 05 09:52:05 GMT 2023","391","tests.api_tests","test_api","","","","test_create_post","
    Test creation of new post
    :rtype: object
    "
"passed","Tue Dec 05 09:52:02 GMT 2023","Tue Dec 05 09:52:03 GMT 2023","446","tests.api_tests","test_api","","","","test_update_user_by_id","
    Test update of already created users with different parameters
    :rtype: object
    "
"passed","Tue Dec 05 09:52:00 GMT 2023","Tue Dec 05 09:52:00 GMT 2023","278","tests.api_tests","test_api","","","","test_get_users","
    Test get all users
    :rtype: object
    "
